"customer","sale_date","seller"
Cristina Xu,1992-10-24,Abraham Bennet
Jacob Martinez,1992-09-28,Michael O'Leary
Jared Gray,1992-11-25,Dirk Stringer
Kaitlyn Allen,1992-10-19,Dirk Stringer
Karen Huang,1992-11-28,Dirk Stringer
Krista Gill,1992-11-04,Marjorie Green
Kristen Li,1992-12-03,Michael O'Leary
Levi Gonzalez,1992-10-15,Marjorie Green
Mario Rai,1992-12-01,Abraham Bennet
Mya Coleman,1992-12-15,Michael O'Leary
Olivia Bennett,1992-11-30,Michael O'Leary
Richard Martinez,1992-10-05,Abraham Bennet
Samuel Sharma,1992-10-03,Michael O'Leary
Tyrone Ruiz,1992-12-06,Marjorie Green
Willie Gao,1992-12-22,Michael O'Leary
